"nume_tara","cod_tara","exporturi","exporturi (%pib)","pib","pib/nr_loc","economie_interna (%pib)","consum_intern (%pib)","investitii_publice (%pib)","inflatie_consum","investitii_straini (%pib)","urbanizare"
"Afghanistan","AFG",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,22.1337350125,42.1708146,5.001720395,5.3681,5.57572836566667
"Albania","ALB",9104536292,39.62339601,22977677861,8367.775731,13.4444591,17.75911608,44.91489468,4.553082811,5.3681,5.004166667
"Algeria","DZA",60376754380,25.16752082,2.39899e+11,5260.20625,39.969835204,41.2259377,21.02837305,-2.258254272,5.3681,6.25
"American Samoa","ASM",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,37.54353083,42.1708146,5.001720395,5.3681,7.51413915666667
"Andorra","AND",26970668446.5,39.146212095,3727673593,57712.1210299999,21.18721359,33.86112396,42.1708146,5.859905503,5.3681,8.77827831333333
"Angola","AGO",33781308111,39.8726733,84722957642,2309.52162,39.969835204,30.17871709,26.66147599,26.77868896,5.3681,10.04241747
"Antigua and Barbuda","ATG",26970668446.5,39.146212095,2033085185,21560.21533,21.18721359,22.65007203,42.1708146,4.805475773,5.3681,5.337422
"Argentina","ARG",82760724362,12.948574106,1.835396e+12,13730.51471,17.04993202,15.12142697,19.888063454,26.77868896,6.139,0.897421188
"Armenia","ARM",14086972330,58.18145547,24212134631,8715.765336,20.64928462,19.17896607,58.86150499,2.83212316,5.31533333333333,4.022573807
"Aruba","ABW",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,21.995369415,42.1708146,5.001720395,4.49166666666667,4.34491048
"Australia","AUS",682133600000,26.72198648,1.835396e+12,57712.1210299999,29.02756022,24.81177276,21.36069104,6.557375685,3.668,4.667247153
"Austria","AUT",682133600000,59.47718589,1.835396e+12,57712.1210299999,27.94790742,27.05366709,56.64198122,7.60697137,5.264,4.989583826
"Azerbaijan","AZE",35487352941,49.04536789,72356176471,7155.083604,39.969835204,29.81595953,34.57398246,-7.3713722488,6.9535,5.311920499
"Bahamas, The","BHS",5.699e+09,39.74613802,14338500000,34749.63829,19.5850333,31.51209298,42.95846846,6.344420145,8.643,3.711666667
"Bahrain","BHR",26970668446.5,39.146212095,4.3205e+10,29084.30713,21.18721359,33.20822643,42.1708146,-7.3713722488,7.3475,2.381666667
"Bangladesh","BGD",57551451741,12.948574106,4.37415e+11,2529.080127,25.75951408,34.90435988,17.82580758,6.89712404,6.052,1.051666667
"Barbados","BRB",26970668446.5,39.146212095,6393564190,22672.61544,21.18721359,30.01383741,42.1708146,4.735828043,4.7565,3.080842809
"Belarus","BLR",48014398058,85.160753714,71857382746,7829.053137,27.20042499,25.12331494,66.17977856,7.368230536,3.461,5.110018951
"Belgium","BEL",682133600000,85.160753714,1.835396e+12,57712.1210299999,24.39571889,25.20699658,86.567204206,4.079874107,5.528,5.7325094755
"Belize","BLZ",1759500000,53.6187719,3281500000,7987.585955,27.06079537,27.61142959,52.85692519,10.89674793,4.9275,6.355
"Benin","BEN",4169448538,21.19345399,19673284686,1434.662834,39.969835204,24.079718325,30.15701102,3.385464352,4.327,7.07666666666667
"Bermuda","BMU",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,20.54800706,42.1708146,5.001720395,3.7265,7.79833333333333
"Bhutan","BTN",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,17.016295795,42.1708146,5.001720395,3.126,8.52
"Bolivia","BOL",12507893618,27.28012912,45849832906,3700.978338,13.11118716,13.48458453,31.56913918,1.699553215,3.024,5.46436066
"Bosnia and Herzegovina","BIH",11939049957,44.12899198,27054889363,8426.09111,0.324250881200001,18.15246839,56.89710957,5.530501969,10.668,2.936145228
"Botswana","BWA",6141387614,31.6635491,19395765126,7249.799326,28.1114262,34.48093249,35.71008683,2.125860244,11.1512,4.753325926
"Brazil","BRA",682133600000,18.11027942,1.835396e+12,10043.62392,18.4525996,15.58974482,15.74366717,4.658994759,7.947,15.665681064
"British Virgin Islands","VGB",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,30.776068065,42.1708146,5.001720395,6.6215,15.665681064
"Brunei Darussalam","BRN",11578413348,85.160753714,15128292954,33430.91848,39.969835204,36.017892276,60.02817372,-7.3713722488,5.296,5.307729167
"Bulgaria","BGR",61847387271,60.88276999,1.01584e+11,15797.59558,22.01543135,20.11737728,57.71731775,7.510536602,4.319,4.335875
"Burkina Faso","BFA",5864783349,28.85556519,20324617839,874.1212804,15.44611371,15.562212435,35.96003097,1.998045499,5.348,5.14670699733333
"Burundi","BDI",139067146.4,12.948574106,2642161669,199.5807602,0.324250881200001,11.00704759,24.32986266,11.37603149,5.3614,5.95753899466667
"Cabo Verde","CPV",1027691033,39.72133377,2587252076,4321.579864,0.324250881200001,20.80083589,54.14383739,3.857299077,5.3748,6.768370992
"Cambodia","KHM",23241423029,85.160753714,31772759999,1875.071482,39.969835204,36.017892276,40.38951118,2.384060721,5.3882,6.33299643733333
"Cameroon","CMR",8774028347,18.3,47945510090,1673.648889,15.4,39.469085455,20.3,2.726009551,5.4016,5.89762188266667
"Canada","CAN",682133600000,33.53640807,1.835396e+12,57712.1210299999,23.54430029,21.84062202,33.92683079,1.60524181,5.415,5.462247328
"Cayman Islands","CYM",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,21.340137414,42.1708146,5.001720395,6.1346,5.02687277333333
"Central African Republic","CAF",369034170.8,14.44082621,2555492085,445.028196,0.324250881200001,20.839652808,29.039744,3.39995299,6.8542,4.59149821866667
"Chad","TCD",5720536634,43.50441166,13149325359,719.3848752,21.18721359,20.339168202,48.07266963,-0.936604165,7.5738,4.156123664
"Channel Islands","CHI",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,19.838683596,42.1708146,5.001720395,8.2934,3.72074910933333
"Chile","CHL",682133600000,31.13673653,3.35533e+11,17093.24197,24.26017038,19.33819899,29.83035747,6.599512046,9.013,3.28537455466667
"China","CHN",682133600000,19.74307349,1.835396e+12,12614.06099,21.18721359,15.069056405,17.57370008,-0.535569714,9.308,2.85
"Colombia","COL",64566020932,17.76035462,3.6354e+11,6979.725135,0.324250881200001,10.79991382,22.72410303,6.347733461,9.603,7.817257377
"Comoros","COM",175212605.4,12.948574106,1352380972,1587.161896,0.324250881200001,11.2582317975,34.98549671,3.213292268,9.2835,6.86840349325
"Congo, Dem. Rep.","COD",29371942665,44.2459902,66383287003,649.1439879,29.34583282,11.716549775,47.0152754,13.17193122,8.964,5.9195496095
"Congo, Rep.","COG",8717056857,56.8959278,15321055818,2508.823395,39.969835204,12.1748677525,39.3144666,-7.3713722488,8.6445,4.97069572575
"Costa Rica","CRI",32254099920,37.2888642,86497941439,16595.37038,19.69069138,12.63318573,32.99795091,-0.087922597,8.325,4.021841842
"Cote d'Ivoire","CIV",18015656996,22.86575045,78788828907,2728.803246,22.02192817,18.322989865,26.61173213,2.485177103,7.2055,3.7300563155
"Croatia","HRV",44673146139,54.0256033,82688842717,21459.78478,20.92039291,24.012794,55.89599037,8.522652208,6.086,3.438270789
"Cuba","CUB",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,19.2568294236667,42.1708146,5.001720395,6.09,3.1464852625
"Curacao","CUW",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,14.5008648473333,42.1708146,5.001720395,6.094,2.854699736
"Cyprus","CYP",28798130179,85.160753714,32229622669,34701.44141,20.92811039,9.744900271,86.567204206,4.72552213,6.098,2.5629142095
"Czechia","CZE",682133600000,85.160753714,3.30858e+11,30427.42347,39.969835204,28.92630389,66.91333463,8.55531034,2.58,2.271128683
"Denmark","DNK",682133600000,85.160753714,4.04199e+11,57712.1210299999,39.969835204,33.91558006,59.44246985,-3.477865496,5.094,2.94874528866667
"Djibouti","DJI",6930852349,85.160753714,4098530514,3606.416896,24.94140624,31.7728816033333,86.567204206,4.564525794,5.24766666666667,3.62636189433333
"Dominica","DMA",26970668446.5,39.146212095,653992592.6,8953.896394,21.18721359,29.6301831466667,42.1708146,2.866215998,5.40133333333333,4.3039785
"Dominican Republic","DOM",25671810042,21.13875613,1.21444e+11,10716.01336,23.99930062,27.48748469,28.47657606,6.423919802,5.555,5.272725
"Ecuador","ECU",34542687000,29.06536882,1.18845e+11,6533.351504,21.73151905,23.49697163,28.78238553,-0.408196858,3.51,5.1905291665
"Egypt, Arab Rep.","EGY",75645997562,19.10609134,3.95926e+11,3512.580065,0.324250881200001,11.17857342,21.34430943,26.77868896,3.251,5.108333333
"El Salvador","SLV",10587770000,31.12620026,34015620000,5344.214394,0.324250881200001,18.0639737,49.79668164,2.728845023,2.992,5.3649999998
"Equatorial Guinea","GNQ",5792863806,47.80804521,12116922539,7066.616593,19.28374438,19.8045942133333,39.32066518,-7.3713722488,4.12066666666667,5.6216666666
"Eritrea","ERI",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,21.5452147266667,42.1708146,5.001720395,5.24933333333333,5.8783333334
"Estonia","EST",31935540310,85.160753714,40744848828,29823.74961,26.11008446,23.28583524,86.567204206,7.88362866,6.378,6.1350000002
"Eswatini","SWZ",26970668446.5,39.146212095,4597855845,3797.301209,21.18721359,21.231120645,42.1708146,3.237286017,6.5326,6.391666667
"Ethiopia","ETH",10792608750,12.948574106,1.63698e+11,1293.778008,14.77204199,19.17640605,19.888063454,26.77868896,6.6872,5.516767092
"Faroe Islands","FRO",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,19.91348454,42.1708146,5.001720395,6.8418,4.641867517
"Fiji","FJI",3031004413,55.16134835,5494797541,5868.159168,0.324250881200001,20.65056303,65.77260187,4.400000615,6.9964,3.766967942
"Finland","FIN",682133600000,40.96461054,3.00187e+11,57712.1210299999,22.35461504,21.38764152,41.38316074,4.797593687,7.151,3.45962745166667
"France","FRA",682133600000,32.67942635,1.835396e+12,44460.81785,22.9916521,23.01126419,34.89768471,5.472333304,7.335,3.15228696133333
"French Polynesia","PYF",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,22.9206451875,42.1708146,5.001720395,7.04966666666667,2.844946471
"Gabon","GAB",11631889368,56.6963013,20516134389,8420.102057,39.969835204,22.830026185,17.44306575,-7.3713722488,6.76433333333333,2.53760598066667
"Gambia, The","GMB",127428495.4,12.948574106,2339904157,843.7657426,0.324250881200001,22.7394071825,35.14112867,12.92242571,6.479,2.23026549033333
"Georgia","GEO",15080402214,49.38640979,30535530479,8120.363443,18.40234005,22.64878818,56.92810981,2.477583933,4.7735,1.922925
"Germany","DEU",682133600000,47.13524833,1.835396e+12,57712.1210299999,27.73291986,30.17088367,42.97328907,6.628008069,3.068,2.60761791666667
"Ghana","GHA",25994007258,34.03675922,76370394412,2238.158021,0.324250881200001,14.07304593,34.99983026,26.77868896,5.71966666666667,3.29231083333333
"Gibraltar","GIB",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,12.91333124,42.1708146,5.001720395,8.37133333333333,3.97700375
"Greece","GRC",682133600000,44.86849659,2.38206e+11,22990.01357,0.324250881200001,11.75361655,49.79591732,4.51948376,11.023,4.66169666666667
"Greenland","GRL",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,13.6291102925,42.1708146,5.001720395,8.85325,5.34638958333333
"Grenada","GRD",26970668446.5,39.146212095,1320334236,10463.64594,21.18721359,15.504604035,42.1708146,2.872132864,6.6835,6.0310825
"Guam","GUM",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,17.3800977775,42.1708146,5.001720395,4.51375,6.8926245835
"Guatemala","GTM",17542859180,17.19037503,1.0205e+11,5797.521596,0.324250881200001,19.25559152,32.93826566,4.922914241,2.344,7.754166667
"Guinea","GIN",9247876843,39.16551323,23612295818,1663.937807,39.969835204,19.20078186,29.80813121,7.393203027,3.0894,7.702777778
"Guinea-Bissau","GNB",352379920,17.91949336,1966461400,914.2751538,14.43432071,19.1459722,28.26359243,7.010635473,3.8348,7.651388889
"Guyana","GUY",26970668446.5,39.146212095,16786302158,20626.19915,21.18721359,19.09116254,42.1708146,-7.3713722488,4.5802,7.6
"Haiti","HTI",1046275696,12.948574106,19850829758,1693.068743,0.324250881200001,19.03635288,25.51473371,26.77868896,5.3256,8.0316810165
"Honduras","HND",12731826450,37.01057486,34400509852,3247.231055,0.324250881200001,18.98154322,60.94290361,6.17858774,6.071,8.463362033
"Hong Kong SAR, China","HKG",682133600000,85.160753714,3.82055e+11,57712.1210299999,16.51266595,24.9261692,86.567204206,3.170084968,2.949,5.280833333
"Hungary","HUN",682133600000,85.160753714,2.12389e+11,22147.20973,30.4578439,26.31109269,86.567204206,26.77868896,4.107,2.184515734
"Iceland","ISL",13452788332,43.36806641,31020032583,57712.1210299999,24.33716752,25.34654625,43.42030319,5.900794057,3.518,2.887177156
"India","IND",682133600000,21.89164331,1.835396e+12,2484.845429,29.15981987,30.56294369,23.96228484,1.366467129,4.172,3.589838578
"Indonesia","IDN",682133600000,21.74658177,1.835396e+12,4940.549805,39.969835204,35.9478957,19.56908499,1.533073673,3.308,4.2925
"Iran, Islamic Rep.","IRN",682133600000,28.63897652,4.01505e+11,4502.546329,39.969835204,36.29787858,26.90505639,26.77868896,3.63466666666667,4.51285714285714
"Iraq","IRQ",26970668446.5,39.146212095,2.50843e+11,5512.47572,21.18721359,36.64786146,42.1708146,-7.3713722488,3.96133333333333,4.73321428571429
"Ireland","IRL",682133600000,85.160753714,1.835396e+12,57712.1210299999,39.969835204,36.99784434,86.567204206,2.965219701,4.288,4.95357142857143
"Isle of Man","IMN",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,34.108647815,42.1708146,5.001720395,3.8295,5.17392857142857
"Israel","ISR",682133600000,30.86278317,1.835396e+12,57712.1210299999,29.4176352,31.21945129,27.13297636,3.944913336,3.371,5.39428571428571
"Italy","ITA",682133600000,35.05454365,1.835396e+12,38373.16605,22.29841473,21.27504741,33.67320017,5.273214455,7.627,5.61464285714286
"Jamaica","JAM",26970668446.5,39.146212095,19423355367,6874.200284,21.18721359,22.83707830125,42.1708146,11.68655319,3.022,5.835
"Japan","JPN",26970668446.5,39.146212095,1.835396e+12,33834.39211,21.18721359,24.3991091925,42.1708146,3.752612323,2.6,4.6041666665
"Jordan","JOR",26970668446.5,39.146212095,50813642349,4482.086026,21.18721359,25.96114008375,42.1708146,1.778109847,2.6125,3.373333333
"Kazakhstan","KAZ",26970668446.5,39.146212095,2.61421e+11,13136.62291,21.18721359,27.523170975,42.1708146,9.346996308,2.625,3.8970724365
"Kenya","KEN",12722102297,12.948574106,1.07441e+11,1949.898969,0.324250881200001,29.08520186625,20.58384541,6.609305353,2.6375,4.42081154
"Kiribati","KIR",20644623.84,12.948574106,279034355.1,2089.910161,21.18721359,30.6472327575,86.567204206,3.266596417,2.65,3.39554102666667
"Korea, Dem. People's Rep.","PRK",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,32.20926364875,42.1708146,5.001720395,2.6625,2.37027051333333
"Korea, Rep.","KOR",682133600000,43.99566987,1.835396e+12,33121.37129,39.969835204,33.77129454,43.94400932,2.064073962,2.675,1.345
"Kosovo","XKX",4148880189,39.74650783,10438351483,5943.125714,0.324250881200001,26.6346862,86.567204206,5.001720395,3.433,1.8870583335
"Kuwait","KWT",26970668446.5,39.146212095,1.61772e+11,37533.21772,21.18721359,24.67156131,42.1708146,-7.3713722488,4.191,2.429116667
"Kyrgyz Republic","KGZ",26970668446.5,39.146212095,13987627909,1969.866481,21.18721359,22.70843642,42.1708146,13.41574141,4.949,15.665681064
"Lao PDR","LAO",26970668446.5,39.146212095,15843155731,2075.401414,21.18721359,20.74531153,42.1708146,26.77868896,5.707,15.665681064
